semester,skema,title,link,ID,duration
E13/F14,Skema C,Flader/Fladeintegraler Del 2,https://video.dtu.dk/media/Flader+Fladeintegraler+Del+2/0_jlhjlvrc/200597,0_jlhjlvrc,1922.92
E13/F14,Skema C,Rum integraler Del 1,https://video.dtu.dk/media/Rum+integraler+Del+1/0_0mfxpta6/200597,0_0mfxpta6,2551.08
E13/F14,Skema C,Rum integraler Del 2,https://video.dtu.dk/media/Rum+integraler+Del+2/0_01pcbp4o/200597,0_01pcbp4o,2693.76
E13/F14,Skema C,Vektorfelter Del 1,https://video.dtu.dk/media/Vektorfelter+Del+1/0_9gpfaj2s/200597,0_9gpfaj2s,2444.68
E13/F14,Skema C,Vektorfelter Del 2,https://video.dtu.dk/media/Vektorfelter+Del+2/0_1b9ylyll/200597,0_1b9ylyll,2394.28
E13/F14,Skema C,Tangentielt kurveintegral Del 1,https://video.dtu.dk/media/Tangentielt+kurveintegral+Del+1/0_89gthlrp/200597,0_89gthlrp,2523.72
E13/F14,Skema C,Tangentielt kurveintegral Del 2,https://video.dtu.dk/media/Tangentielt+kurveintegral+Del+2/0_yvvwc7hl/200597,0_yvvwc7hl,1754.56
E13/F14,Skema C,Flux Del 1,https://video.dtu.dk/media/Flux+Del+1/0_vys1kp90/200597,0_vys1kp90,2701.96
E13/F14,Skema C,Flux Del 2,https://video.dtu.dk/media/Flux+Del+2/0_8wqy4l3q/200597,0_8wqy4l3q,2125.92
E13/F14,Skema C,Gauss sætning Del 1,https://video.dtu.dk/media/Gauss+s%C3%A6tning+Del+1/0_9luirg09/200597,0_9luirg09,2851.6
E13/F14,Skema C,Gauss sætning Del 2,https://video.dtu.dk/media/Gauss+s%C3%A6tning+Del+2/0_cvpsr0xw/200597,0_cvpsr0xw,1083.12
E13/F14,Skema C,Stokes/Potentialer Del 1,https://video.dtu.dk/media/Stokes+Potentialer+Del+1/0_efyt0ue2/200597,0_efyt0ue2,2500.32
E13/F14,Skema C,Stokes/Potentialer Del 2,https://video.dtu.dk/media/Stokes+Potentialer+Del+2/0_ad04nanw/200597,0_ad04nanw,1635.6
E13/F14,Skema C,Stokes/Potentialer Del 1,https://video.dtu.dk/media/Stokes+Potentialer+Del+1/0_yn5qrc1i/200597,0_yn5qrc1i,2688.6
E13/F14,Skema C,Stokes/Potentialer Del 2,https://video.dtu.dk/media/Stokes+Potentialer+Del+2/0_83dsewjo/200597,0_83dsewjo,2719.0
E14/F15,Skema C,Komplekse tal på rektangulær form Del 1,https://video.dtu.dk/media/Komplekse+tal+p%C3%A5+rektangul%C3%A6r+form+Del+1/0_1i5b5665/200601,0_1i5b5665,1439.4
E14/F15,Skema C,Komplekse tal på rektangulær form Del 2,https://video.dtu.dk/media/Komplekse+tal+p%C3%A5+rektangul%C3%A6r+form+Del+2/0_rnfo3bck/200601,0_rnfo3bck,1796.2
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_pdcktrl4/200601,0_pdcktrl4,2580.84
E14/F15,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_1a3bysay/200601,0_1a3bysay,1912.44
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_m2g2ofvr/200601,0_m2g2ofvr,2576.16
E14/F15,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_0oig7u4r/200601,0_0oig7u4r,1533.24
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_0j7b7rst/200601,0_0j7b7rst,2134.8
E14/F15,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_cx1tq6yt/200601,0_cx1tq6yt,2360.32
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_lmfvg9xp/200601,0_lmfvg9xp,2420.88
